Municipio,Macroregi+//3//Q-o, Regi+//3//Q-o,IDH,Porte
Caucaia, Fortaleza, Caucaia,Medio,
Amontada, Fortaleza, Itapipoca,Medio,
Aracoiaba, Fortaleza, Baturit+//3//Q-,Medio,
Mulungu, Fortaleza, Baturit+//3//Q-,Medio,
Uruburetama, Fortaleza,Itapipoca,Medio,
Pacatuba, Fortaleza, Maracana+//3//Q-,Medio,
Pacoti, Fortaleza, Baturit+//3//Q-,Medio,
Capistrano, Fortaleza, Baturit+//3//Q-,Medio,
Chorozinho, Fortaleza, Cascavel,Medio,
Reden+//3//f/9//0-o, Fortaleza, Maracana+//3//Q-,Medio,
General Sampaio, Fortaleza, Caucaia, Baixo,10000
Palm+//3//Q-cia, Fortaleza, Maracana+//3//Q-,Medio,
Miraima, Fortaleza,Itapipoca, Baixo,
Itaitinga, Fortaleza, Fortaleza,Medio,
Itapi+//3//Q-na, Fortaleza, Baturit+//3//Q-,Medio,
Baturite, Fortaleza, Baturit+//3//Q-,Medio,
Guaramiranga, Fortaleza,Baturit+//3//Q-,Medio,5000
Cascavel, Fortaleza,Cascavel,Medio,
Apuiar+//3//Q-s, Fortaleza, Caucaia,Medio,
Trairi, Fortaleza, Itapipoca,Medio,
Paracuru, Fortaleza,  Caucaia,Medio,
Paraipaba, Fortaleza, Caucaia,Medio,
Tururu, Fortaleza, Itapipoca,Medio,
Aquiraz, Fortaleza, Fortaleza,Medio,
Aratuba, Fortaleza, Baturit+//3//Q-,Medio,
Fortaleza, Fortaleza, Fortaleza,Medio,
Guai+//3//Q-ba, Fortaleza, Maracana+//3//Q-,Medio,
S+//3//Q-o Lu+//3//Q-s do Curu, Fortaleza, Caucaia,Medio,
Teju+//3//Q-uoca, Fortaleza, Caucaia, Baixo,
Barreira, Fortaleza, Maracana+//3//Q-,Medio,
Pentecoste, Fortaleza, Caucaia,Medio,
Pindoretama, Fortaleza,Cascavel,Medio,
Itapipoca, Fortaleza, Itapipoca,Medio,
Acarape, Fortaleza, Maracana+//3//Q-,Medio,
Ocara, Fortaleza, Cascavel, Baixo ,
